text	label
perhaps wed all be closed to our departure lounge by then if we remain passive in the electioneering process nigeriansre at war on every side with political principalities terrorists bandits herdsmen and kidnappers we must not succumb to the frustration tactics	negative
no this fulani na lagos fulani	negative
premium uk used iphone available gig k gig k kindly send a dm to place your order or call ps swap deals can come in + we deliver nationwide kindly help retweet tinubu fulani drake rema fela senior amen atiku money amen ipob burna mehn	negative
the problem is that we see what we want to see show them they see nada im officially tayad of convincing them that pmb has done more to us than yrs of their beloved pdp and hausafulani is not our problem it is pointless to wake someone who is pretending to be asleep	negative
pmb expressed his shock over the incessant loosing of states to pdp by apc just like the way thousands of nigerians lose their lifes to fulani hersmen hence pmb further said that he will keep expressing his shock when things like this happens as he is no longer in control of	negative
funnily the governor is busy around with who the next president will be he wont still do anything ondo vengeance wont be easy on the remaining herdsmen fulanis hausa wait and watch it how it plays out	negative
make no mistake cyber warfare is not the militarys job we still have boko haram banditry and herdsmen terrorising the north focus your energy on that and allow do the intelligent work dont try to intimidate us its our right	negative
we might even say that igbos are more commited to voting for fulani than to voting for fellow igbos	negative
sarcasticjust be writing headlines for sahara reporters its probably the only news outlet that can genuinely carry this kinda headline if she truly was hausa fulani	negative
security alert if youre coming from agbor delta state to uromi edo state please stay back and be alert herdsmen are attacking commuters on the road my friend was just attacked and barely escaped with his life	negative
open grazing buhari tasks agf malami to secure land for herdsmen across nigeria	negative
fulani herds men murdered citizens in my area yesterday was a final year student	negative
gov knows the insecurity in benue has so much politics fulani herdsmen is d bait but d localsgovt officials are d problem talk about closing idp camp d will also get letters on the whole it is politics and business some people seriously profiting financially and political	negative
the thing wey macaroni go cause for this politician no be for here at all that is exactly how those riff raff do lie pretend to get attention naso we see some wey dey eat corn sleep on poor pples bed just to gain attention election if u like share cow no vote	negative
kinga ni am fulani frm adamawa state	negative
akwa ibom and goat meat are like this cant stand the smell of the meat before i enter uyo like thisi like everything goat meat i no dey too dey bother look for cow beef again goat meat pepper soup inside afang inside okra fisherman soup name it i hail	negative
is time and energy wasting exchanging words with more of animal and less of human object like you arent you seeing that you and your cow region are curse caged never to reason humanly	positive
someone tweeted sometimes ago that they dont know what u sound like i was tempted to tell the person u sounded like a rich fulani eleha	negative
why wont farming be affected wen awon oloriburuku fulani wont let people farm in peace	positive
the inglorious buhari inner circle ️these same insincerity and hypocrisy are the major reasons nigeria has been brought down to its knees today by nepotism bloodthirsty fulani herdsmen and socalled bandits who have stamped their brutal authority around the nooks and crannie	positive
waw in fulani from katsina	negative
this cow na typical nigerian	positive
i really really really wanna shootdocument an hausa fulani wedding so bad been a dream of mine for a very very long time so fascinated by their culture  who go book me like this to document am please help me rt som on ur tl might wanna book me	negative
get ur fav pictures on a inches wide x inches tall wall canvas print cost for fully framed unframed payment on delivery whatsapp to order delivery nationwide	negative
but you can comfortably identify with buhari malami pandemic and thier murderous herdsmen not to talk of the billions flying from sadiyas disaster ministry	positive
all those killed are fulani herdsmen pls dont disturb my twitter president come	negative
do they do it to only non fulani	negative
this morning at berger roundabout and along mabushi some say they are herdsmen some say the are agberos may god help us oooh	negative
shame on you igp why you are concentrating on ipob and igbos boko haram and fulani herdsmen are showing you people shege	positive
and how to proactively deploy our police and military for internal security issues to prevent fulaniindigene clashes	negative
its a lie the person behind this masquerade is not a fulani and a simple look at your page can tell its a catfish created for one purpose	negative
up till now the govt has done nothing about this massacre of fulani families amongst many others in same vain	negative
boss dont go and give your name cow my babies name o bcos i don see yusrah before o	positive
the president should fall out when coming he should come with a fulani who will interpret from english to fulani we would come with ours in case the interpreter is adding salt and maggi	negative
lmao we no too dey chop cow like that for lagos na na turkey and orobo chicken na	negative
did you not advocate for compensation to victims of attack on fulani herdsmen	negative
the difference between valverde setien and koeman one is a tout the other is a fulani man and the last one is just an albino	positive
i listen to for the first time and i understand the different between a fulani jajantua and a nation leader	negative
what type of cow are you buying k	negative
this sensitization should be done in english pidgin hausa igbo yoruba fulani etc languages so that every individual in nigeria can understand the information the economy may be hard but it will be harder if we dont get it right this time	negative
so kaduna that you are referring to is fulani state i thought the other guy corrected you about hausa and you were distinctive about fulani again probably you should point where hausa and yoruba mosque you are talking about are in lagos	negative
i just wanna tell yall that im proudly yoruba no im not yoruba im omo odua yoruba is a word coined from another word yariba hundred years ago there was nothing like yoruba until the british and fulani came into the picture	negative
buhari insecurity in the country is been mentioned all over the world not only in nigeria am i not leading the country according to constitution what does nigerians want buhari marriage nd june boko haram igbos fulani south east samklef money laycon	negative
thats still a conspiracy its the fulani conspiracy the fulani started it in the north against the hausa people overthrew their govt and took over leadership even before independence but what has the hausa done to stop this	positive
in case you want to know the history of the fulani herdsmen in africa and nigeria in particular kindly follow the thread below you will see why fulani have been a great and progress friends and good unmovable neighbors to your grandparents of generations over and over again	negative
the valentine package is also inclusive of special meals across our zuma grill bukka restaurant and fulani pool bar starting from n inclusive of a complimentary rose stick a glass of sparkling wine and boxed chocolate	negative
you did not answer the question how many fulani cows and fulani slaves will vote for him	positive
is still your plug for all fresh farm produces like catfish tilapia rabbit snail goat cow plantain strawberry tomato banana and plaintain farm project make your order today at	negative
imo state governor would rather have herdsmen kill his people than setting up security men to fight his so called fulani herdsmen fulani herdsmen and southern governors are the same people	positive
i prank my boss watch till end and see what he did to me deadpool rwanda terri kanu igboho	negative
igbo and im fulani see how opposite they go	negative
rd frame fulani bawan kanuri happy birthday he	negative
these are what your people have refused to understand whatever turn good in nigeria is igbos while if turn bad is hausa fulani	positive
igbo fulani calabar edo	negative
ehn even the one i inherited from my grandfather wahala for who no be fulani	negative
its not its cow tail pepper soup	negative
he gave fulanis living in a particular area days to leave and that days don expire	negative
who would you rather be president tinubu or another bigot from fulani	positive
its raining cow tail oooo illeya is around the corner price n n n location itire lagos to book a portion please send me a message on whatsapp please help retweet if this comes on your tl thank you	negative
fulani dai cuz shes used to fura and now she ate shawarma shes always craving	negative
go through this trend and see how people were killed and how they insult people then you will know why nobody from here wants to be termed aboki the extreminists are doing too much and making other people hate the hausafulani	positive
govt said the hunters and forest guards is illegal but they have vehicles driving about with uniforms in benue that shaving of hair can stop payment of salaries if there is no herdsmen attack oooooo	negative
when youre hausa and fulani at the same time	negative
northern traders are herdsmen the people that lost lives and properties there must you attach everything to fulani	negative
youths flee as soldiers invade enugu community for sacking herdsmen punch newspapers nigeria army openly backing fulani herdsmen is enough to go round	negative
what cow cannot do doesnt exist	negative
investigators should verify the scene of the incident for evidence of his claims but anyone questioning the governors claims because of a lack of video evidence is either pro buharifulani or just very naive	negative
add enough cow leg please	negative
sack the service chiefs and put other fulani extraction that will perform gallantly you must perform before it is too late	negative
they knew everything but greediness is there problem theyre complaining because theyre the victims and displaced now they didnt complain when fulani and all muslims in southern kaduna has being killed and displaced	negative
back to the roots	negative
lack of history afonja betrayed the yorubas and he paid dearly for it when he formed alliance with the fulani against oyo empire	negative
tinubu will be doing national leader of apc on london sickbed fulani afonja descendants	negative
i remember one time i went dude told me someone bought a whole cow and said they should cut of the head paid k for half of the head used like weeks eating meat	negative
thats the confirmation herdsmen in awka and you have your ipob guys there terrorising u u will never have sense	negative
end tribalism in nigeria stop the killing all we need is one 	negative
how did you know is fulani herdsmen	negative
with his body language you would think buhari isnt aware of whats happening in nigeria until anything anticow or antiherdsmen happens the speed with which the presidency countered ondos akeredolu and ordered the arrest of sunday igboho over fulani quit notice is unbuhari	negative
nengi the actress alex iwobi no leave no transfer dr dolor sapa sucre one dance president buhari yoruba and fulani claude phone holder for sell contact me on whatsapp via or call via to place your order	negative
will this girls ever listen stay with what you have sunday igboho nigeria tesla fulani messi and ronaldo nnamdi kanu agbor laycon is an alist artist osun oyo state yoruba buhari delta eden hazard	negative
and the said fulani banditsherdsmen being victims of circumstance as they complained countless times of rustlers invading them and their cattle with no aid coming to them from the government truth is i dont buy it truth is that they are criminals and should be treated as such	positive
in my dream last night i owned hundreds of cows and i was moving about with them like a herdsman what does this mean	negative
is delta fulani land the answer is capital no now go to hell	positive
em head like that calabash fulani use in hawking wara	negative
fulani is not the problem incompetent leaders are	negative
our earnest prayer is for a united nigeria all of us can coexist as one	negative
this was made known today while hosting the state forum of serikis of hausafulani community led by their chairman alh lawal gomina at banquet hall osun state government house osogbo the state capital	negative
we are not terrorists the is so nigerian army stay out of civil matters if you are politically driven by politicians and doing their bids is what you find as pleasure then are indeed coming for you	negative
its actually funny when people think i am fulani like i dont even look fulani	negative
help stop the killings and genocide against christians in southern kaduna nigeria this pictures are from this week attacks carry out by fulani herdsmen and sadly the government are doing nothing please come to our aid	negative
destruction of farms by herds caused many problems but attacks on villages without their cows is something else most times people dont wait f confirmation b labelling d attackers as herdsmen d dont go to banks but sell cows wont go further on that so d are also targets	negative
rudep crrated awareness on at gaa oniyere a fulani settlement in oyo west lg the team also visited onifa village to sensitize farmers on the safe use of herbicide on crops through the basic ii project of	negative
you are such a miserable human being is sunday igboho not a nigerian is lagos not part of yoruba land re they coming to lagos to fight stupid blind man wall b consumed by da nonsenses perpetrated by fulani people shebi u re stupid u might b over sea ur pipu are here	positive
the fulani girl and the yoruba boy	negative
really is she shuwa or fulani	negative
hes a fulani man before being a nigerian hmmm	positive
premium used iphone available gig k gig k gig k kindly send a dm to place your order or whatsapp please help retweet davido chioma wizkid racksterli duke tinubu kano thanks london yoruba and fulani	negative
is criminal a tribal thing before you people started calling all kidnappers fulani kidnappers	negative
this rubber stamp national assembly will either remove you when their blindness will have been cured by the hardship of your cluelessness or the entire nation including the killer herdsmen and their likes rise up against you like they did against bashir in sudan	positive
how heartless can you be to walk into a church with worshippers and massacre them harmless worshippers expressing their freedom to worship in their own land fgs and you a fulani walks into the church and massacre them the funniest part is nothing will be done about this	negative
i dont have any problem with herdsmen housing their animals by any method bit i detest igbohos method and utterances you cannot be looking at solution and atbthe same time supporting sundays methods	negative
people who argue dont understand people who understand dont argue dont waste your time arguing stay learning stay striving stay succeeding	negative
i say it with my chest this morning i entered a bus and these guys talking about the oyo killings one said fulani are the problem of this country omo theyll die not solving their problem useless people	positive
same way the fulanis attack us in nigeria when we protest	positive
this isnt the time to cast blame on any tribe or ethnic group cant you all see that the plans of these politicians are playing out a thug is a thug irrespective of his tribe	negative
sunday igboho talking about gani adams federal government south west senators and fulani	negative
ugm unknown gun men bandits herdsmen etc	negative
ranching is the activity or business of breeding cattle on a ranch	negative
they are the fulanis killing people in nigeria	positive
i hope those useless mallams and cow owners in the north that call themselves governors can see jide sanwolu on this morning that is how you grant interview and give details report	positive
we aint see nothing food we go look for food we go believe herdsmen flood drought climate change now boko haram and we get president oh	negative
thank you and it is managed by the fulani s	negative
minutes into my kidnapping me here this is sunday s number he is my father please call and tell him you are fulani	positive
frozen cow meat will enter lagos from holland dont overate yourself	negative
hausa vs fulani is worst than this	negative
fgn federal government of nigeria fulani government	negative
this one na igbo fulani	negative
fulani today igbo tomorrow every tribe but yoruba	negative
come home and defend your folish ideology if you are brave like ojukwu come home you cowd	positive
they do i went to lutheran high school and presbyterian senior science school dem go flog you like cow	negative
see this fulani girl and how they disgrace us in front of camera	negative
you just affirmed my observation from way back any one going up north on exploration stints should just learn the hausafulani language it is the lingua franca over there way popular than our official language of communication	negative
wallahi thats the problem now every single of them are tweeting about d massacre in ondo owo n attaching it to fulanis but the harira issue n d killings they all kept quiet saying nothing about it i pray those that lost their lifes n my condolences their family	negative
i dont think so war is bad and ill respond with violence language which unknown gunmen understand to stop another civil war my problem with the thread is that hes never being this tough on herdsmenbandits	negative
so why cant the esn do the needful by exposing the perpetrators of all the mayhems attributed to themor were they created just for fulani herdsmeneven at that how many crimes has they busted since they were created	negative
cbn branch benue on fire	negative
pink cow prints what do yall think tiwa savage beyoncé nicki minaj callwhatsapp to get your nails and pedicure done	negative
why is it difficult for fulani herdsmen to buy land in other parts of nigeria but want it by force	negative
wetin sef na low grade ordinary cow una dey price liadiss when i can just order mr google from farms from k above plsssssss abegiiiii	negative
lecturing who you are so foolish we are talking production you praying for importation shows you empty in cognitive department fish can be canned here cocoa is in abundant here cow milk abound all this can be locally produced as well can be exported ignorance sticks on you	negative
date your type if you dont fancy everyday calling date someone whome you both can be talking only on eke market days if you are the type that playfully call your partner cow fowl ode etc stay away from awon am i your mate methuselahs cousins	negative
a r e w a the cows business is viewed as a significant part in the hausafulani economy its monetary advancement was cultivated for the most part through the exercises of indigenous cows sellers and herders because of improved market openings	negative
never compete with anyone lilo buhari igboho nigerians fulani	negative
justice for yoruba and fulani men	negative
this guy cant just come out and make one tweet of apology towards my people and you expect me to forgive him just like that nigga it will take a lot in one of your tweets you rated a cow above me mehn you go first beg the cow before you come beg me	positive
dont mind him since after primary elections did you hear amything about fulani herdsmen again	negative
boko haram first debuted over years ago kidnapping banditory and herdsmen attack have been lurking around for over years now it is arewa leaders who should be talking about àmọ̀tẹ́kùn if our lives and properties mattered to them	negative
n o r m a d i c	negative
peter obi has declared o dont be a fulani slave support your own now e go be	positive
i think we igbos are gruesomely selfish we have fought the war already lets gather together make our papers and present to the un it will be difficult but with deep rooted planning and unity as the fulani fostered their ills since way back we can foster ours	positive
thanks fam the gombe fulani girl part	negative
i say i should tell you people that dont like goat cow meat that we also do fish sharing too find attached prices hakepanla slot croaker slot titus slot cote slot to book a slot send me a whatsapp message	negative
abuja in the mud wike | fulani | goodluck jonathan	negative
herdsmen or not our security operatives has failed us they need to tackle this menace of kidnapping and killing	negative
ahhh i thought kado refers to we fulani that cant speak fulfulde	negative
herdsmen just attacked st francis catholic church in my hometown in state blood donors are needed urgently at federal medical center	negative
thats why i said he should begin from bh herdsmen and co the country is slipping into anarchy a fiasco is happening before our very eyes thats insane	negative
teach me my native language you gotta be kidding me to you aboki is a lowbrow a cow and a goat to me yes aboki is a friend we see things from different perspectives	negative
for you abi reverse cow girl dey make sense too thats my third favorite	negative
soft landing for herdsmen	negative
but he thinks buhari that he brought on board has done very well hencehe failed to criticize or correct buhari even when fulanis killing in sw and every of nigeria wereis going onbad economic decisions tribalistic and religious favoritism how can i trust him	negative
bring suya bring suyana cow body dey suffer am	negative
you lied those in the picture were ipob members caught in delta state snatched the police ak raffle to kill the people in pretense like fulanis herdsmen	negative
especially southwest states i feel we are yet to see whats coming we are so surrounded look at lagos or ibadan as examples christians and the south at large stand to defend themselvesif herdsmen carry guns to protect his cows let priests buy guns to protect his sheeps	negative
protest lasted for days was no where to be found bandits kidnapping all over the north was absent fire out break in amuwo lagos still was missing fulani herdsmen wrecking havoc nationwide was mute why is he so concerned now	negative
fulani bought the form according to the nation newspaper report	negative
can never be a terrorist but is a terrorist country a country where government pamper herdsmen terrorist etc is clearly a terrorist country if you doubt it let any of this terror group go to western world like do	positive
the porous boarders which we have also part of the insecurity most of the herdsmen are not nigerians	negative
let as use this cow dung to generate a clean gas for you for cook and also use to connect with generator to give you light in your house no need for you to buy fueljust waste and you are good to go +	negative
umar musa yardua too another katsina hausafulani	negative
dadfulani momfulani mehausafulani exhausanupe	negative
u must be fulani	negative
am yoruba i dont supprt hate post or propaganda we can say because we have bad yoruba categorise all yoruba as bad or because we have bandits and criminal herdsmen say all fulani are bad this is mistake many if them are making about igbo and ipob too	negative
d are not ready many of them have atiku characters and believe he will do them well even their demand for biafra is blackmail non of their nass members asked f referendum in d constitutional amendment want presidency hate fulanis but supporting a fulani man confusion galore	negative
ondo govt seized cow for destroying farms	negative
when you people burn oyo state to ground bcos of your idiotic politics u will come back and meet the ruinoloriburuku omo ale eeru fulani	positive
my grandfather was a great farmer he still had strength in him when he stopped farming i asked him why he said the fulani always raid his yam farm with their cows they will report to the oba and nothing will be done this is in offa kwara state	negative
during the time of the shina rambo massacre nobody calls fulani and during aninis kidnapping days nobody takes herdsmen to court my point is this nobody will point out if you are not responsible for it at all	negative
shut up so the best your fulani morons could offer is to start raping kidnapping and killing our own people on our lands of course we can see the best from fulani has found its way to yorubaland and we already know what it means	positive
is governor ortom a fulani man	negative
this is the only tone fulani will be united in aside from this general election nothing else bonds them	negative
my sister presidency now turn to spokesperson of herdsmen who is this presidency sef	negative
kudos to u so mention bharam bandit and herdsmen sponsorers that terrorism nigeria i even forgot u said u will not made governable for jonathan	negative
listen nabila i dont equally care about where youre from only correcting misinformation passed to you ƴaradua paternal grandma came from the sulluɓawa clan of fulani who currently hold the throne of katsina while his paternal grandpa came from the dallazawa clan who have	negative
what else do you want to investigate again when it has already been established that the herders killed someone over a cow i think they should be charged to court immediately and be made to serve the punishment enshrined in the law concerning such offense let justice prevail	positive
fulani cow will not enter your farm	negative
what kind of leadership are you proclaiming by advising buhari to create agency for herdsmenare you out of your mind am very sure you are suffering from mental health fuck you	positive
there is no value in a nigerian persons life if you live up to years in nigeria it is a testimony because if unknown gun men no kill you ritualist hunger cultists okada riders government police sapa or your pastor could kill you	negative
calm down i am from ilorin the fulani part dont stress me about my lineage however i added funny fulani	negative
dear never let them know the that is giving you if they know they will the cow the that way be warned i am ewale	negative
his administration base on merit and most of the beneficiaries hailed from poor background ~ sarkin fulani	negative
they are probably fulani men from your village keep deceiving yourself i just said a prayer and so shall it be to those destroying alaigbo including their supporters	negative
david is online talking about the operation of boko haram and fulani herdsmen	negative
on going annihilation of christian dominated communities in southern kaduna is seriously worrisome fulani caliphate under the guise of fulani herdsmen aided by nigerian state nigeria army and police wanted to annihilate southern kaduna on the surface of the earth	positive
very very important sosall our dearest fulani bro with love and affection pls give us that manual	negative
who are those shouting marginalization u see kogi people there yesterday kogi state is mixed we have yoruba in appointment we have igbos in appointment we have fulani we have hausa we have igalas we have igbiras we have tapa my question again show me yours in south east	negative
i have always come against the narrative that fulani herdsmen are wholesomely responsible for attacks on farmers in sw criminals are to blame and should be hunted down and prosecuted when you say it is a tribe crime becomes politics criminals go fir negotiation and get amnesty	positive
fulani herdsmen are asking for cattle rustling to stop education and healthcare facilities drinkable water and some very basic integration into the formal society they love nigeria ipob on the other hand hated nigeria and want out same mission of boko haram thats terrorism	negative
all was fake nothing like herdsmen killing in south west it shows it was just cooked story and done by sunday igboho and his sponsors why did the supposed killing or herdsmen stopped immediately he was arrested pdp are	negative
the way the nigerian police armed themself at lekki its like they are ready for war not against banditsherdsmen or boko haram against peaceful protesters there are not here to protect us from harm but to inflict this is our right	negative
marry a fulani guy in the end sometimes her family ensures this and rejects the proposal of a guy from other tribes but nowadays it seems to be changing my cousin married a yoruba recently	negative
a muslim and fulani man and he did his besteye kee bii eye we once had a fulanimuslim as our president and he never made life difficult	negative
my guy its your president that sent those fulani boys to most places in nigeria stop playing the victim card	positive
i like your dream at least it got joseph to level of prime minister just so you know this insecurity were the focal point of gmbs campaign because people like you tag gej weak n gmb been a retired general hence he would crush all bh as then now we have herdsmen and bandits	negative
send k make i take organize muhibah for you we go use cow take so sara abi bawo lese ri si	negative
chop better this thursday biko problem no dey finish abegiii our ayamase sauce and ofada rice is always a hit a pack is and it comes assorted meat and boiled egg only plantain and fish comes at an extra cost	negative
it is known fact and well proven that the most accommodating people are the southwesternyou see them both hausafulani and igbo and other tribe community and they will even be given chieftainshipbut se to marry their daughter is even hard	negative
in a news coverage on the elders of the affected community clearly said the head of the vigilante killed was not killed by the fulani settlers but by criminals in the community who hated the guts of the vigilante leader these youth acted out of hatred god help us	negative
thank god buhari regime not sell any agencies or government companies the way atiku did to nigeria and atiku is a fulani man a muslim and a northernern why did you reject buhari and accept atiku as a competent	negative
even fulani are protesting	negative
dont know who is incharge of wikes media budget but he must be extremely powerful and have access to money wont be surprised if those media herdsmen in arise including d attempted deputy gov and channels are listed on their payroll	negative
find me one jalingo fulani	negative
im a proud imolite when all dust is settledimo will be free from the shackles of fulani esnapc and poor governance in general super falcons	positive
ya karin hakurin hajia fulani allah gafarta mata	negative
january last year dr abubakar bukola saraki said he is of fulani origin but we are now in electioneering period now in order to massearge the ego and belief of those who have profiled the entire fulani tribe as a criminal	positive
and you be papa imagine your children seeing their useless father as a cow defending failure on the internet wasted sperm your prostituted mother shouldve just aborted you the very moment she knew your thuggery street criminal father was a waste to give you a education	positive
who did igbos voted for is it not the same fulani atiku pot calling the kettle black right from the independent day the igbos are known followers of the fulanis they served the fulanis	negative
i cant speak the fulani sosai still a learner i speak more of hausa	negative
seems like yall will be happy when the fulanis take over the entire yoruba land just like how illorin was lost to them wise up	positive
them you looking cool and resemble fulani me thanks man them where are you from me adamawa state them kaiiiii thats very far also i heard the road leading to your place is very very bad despite you having atiku me mtschww i should relocate to your state abi ode	negative
meanwhile i wouldnt mind salah meat on monday and tuesday price of goat and cow meat are very expensive now	negative
u are for a fact a slave for fulanis and corrupt people than i am if the us comes to buy a slave they wont buy u bro cos u already been sold out to pdp a longtime to use d word slave in a convo u stressed d need to not insult shows how low thinking u are clown	positive
cow keep kill the people of kaduna with your short father	positive
buhari fulani terrorists herdsmen and boko haram has been targeting and harrassing nigerians who are you going to report them to btw desmond elliot is still at fault in this case akpa nsị	negative
